id,city,city_ascii,state_id,state_name,county_name,lat,lng,population
13438,Hanna City,Hanna City,IL,Illinois,Peoria,40.6936,-89.8059,1347
13439,Penhook,Penhook,VA,Virginia,Franklin,36.9908,-79.6318,1347
13440,Colchester,Colchester,IL,Illinois,McDonough,40.4256,-90.7922,1347
13441,Highpoint,Highpoint,OH,Ohio,Hamilton,39.2892,-84.3472,1347
13442,Plandome,Plandome,NY,New York,Nassau,40.8069,-73.6996,1346
13443,Vinco,Vinco,PA,Pennsylvania,Cambria,40.4100,-78.8450,1346
13444,Lake Marcel-Stillwater,Lake Marcel-Stillwater,WA,Washington,King,47.6926,-121.9151,1346
13445,Muniz,Muniz,TX,Texas,Hidalgo,26.2578,-98.0897,1346
13446,Clarksville,Clarksville,IA,Iowa,Butler,42.7798,-92.6680,1345
13447,Tsaile,Tsaile,AZ,Arizona,Apache,36.3033,-109.2157,1345
13448,Apple Mountain Lake,Apple Mountain Lake,VA,Virginia,Warren,38.9231,-78.1033,1345
13449,Camanche Village,Camanche Village,CA,California,Amador,38.2662,-120.9866,1344
13450,Ceresco,Ceresco,NE,Nebraska,Saunders,41.0580,-96.6459,1343
13451,Sutton-Alpine,Sutton-Alpine,AK,Alaska,Matanuska-Susitna,61.7428,-148.8548,1343
13452,Porter Heights,Porter Heights,TX,Texas,Montgomery,30.1501,-95.3217,1343
13453,Mendon,Mendon,UT,Utah,Cache,41.7102,-111.9776,1342
13454,Albion,Albion,PA,Pennsylvania,Erie,41.8904,-80.3641,1342
13455,Independence,Independence,WI,Wisconsin,Trempealeau,44.3328,-91.4172,1342
13456,Millbrook,Millbrook,NY,New York,Dutchess,41.7842,-73.6937,1342
13457,Gray,Gray,TN,Tennessee,Washington,36.4219,-82.4767,1342
13458,Kittitas,Kittitas,WA,Washington,Kittitas,46.9837,-120.4189,1342
13459,Hemphill,Hemphill,TX,Texas,Sabine,31.3431,-93.8511,1341
13460,Atlantic Beach,Atlantic Beach,NY,New York,Nassau,40.5893,-73.7295,1341
13461,Bridgeport,Bridgeport,NY,New York,Madison,43.1551,-75.9723,1341
13462,North Lima,North Lima,OH,Ohio,Mahoning,40.9497,-80.6611,1341
13463,Cleveland,Cleveland,AL,Alabama,Blount,33.9964,-86.5671,1340
13464,Funny River,Funny River,AK,Alaska,Kenai Peninsula,60.4876,-150.7812,1340
13465,Saxapahaw,Saxapahaw,NC,North Carolina,Alamance,35.9489,-79.3210,1340
13466,Walnut,Walnut,IL,Illinois,Bureau,41.5571,-89.5912,1340
13467,Britton,Britton,SD,South Dakota,Marshall,45.7924,-97.7529,1339
13468,Buttonwillow,Buttonwillow,CA,California,Kern,35.4092,-119.4406,1339
13469,Solana,Solana,FL,Florida,Charlotte,26.9388,-82.0277,1339
13470,Lomas Verdes Comunidad,Lomas Verdes Comunidad,PR,Puerto Rico,Moca,18.3823,-67.1201,1339
13471,Appleton,Appleton,MN,Minnesota,Swift,45.1998,-96.0225,1339
13472,Blossom,Blossom,TX,Texas,Lamar,33.6633,-95.3837,1338
13473,Dutch Island,Dutch Island,GA,Georgia,Chatham,32.0047,-81.0317,1338
13474,Byers,Byers,CO,Colorado,Arapahoe,39.7101,-104.2190,1338
13475,Tripoli,Tripoli,IA,Iowa,Bremer,42.8083,-92.2578,1337
13476,Sultana,Sultana,CA,California,Tulare,36.5455,-119.3379,1336
13477,Irvington,Irvington,KY,Kentucky,Breckinridge,37.8779,-86.2848,1336
13478,Diamond Ridge,Diamond Ridge,AK,Alaska,Kenai Peninsula,59.7024,-151.5546,1336
13479,Yamhill,Yamhill,OR,Oregon,Yamhill,45.3409,-123.1846,1336
13480,Fish Lake,Fish Lake,IN,Indiana,LaPorte,41.5616,-86.5513,1335
13481,Crested Butte,Crested Butte,CO,Colorado,Gunnison,38.8676,-106.9773,1335
13482,Rock Port,Rock Port,MO,Missouri,Atchison,40.4109,-95.5332,1335
13483,Tyhee,Tyhee,ID,Idaho,Bannock,42.9552,-112.4561,1335
13484,Atkinson,Atkinson,IL,Illinois,Henry,41.4168,-90.0087,1335
13485,Crugers,Crugers,NY,New York,Westchester,41.2279,-73.9259,1335
